P06;label
101;BURKINA FASO
102;ARGELIA
103;BOTSWANA
104;BURUNDI
105;CAMERUN
107;REPUBLICA CENTROAFRICANA
108;CONGO
109;ZAIRE
110;COSTA DE MARFIL
111;CHAD
112;BENIN
113;EGIPTO
115;GABON
116;GAMBIA
117;GHANA
118;GUINEA
119;GUINEA ECUATORIAL
120;KENYA
121;LESOTHO
122;LIBERIA
123;LIBIA
124;MADAGASCAR
125;MALAWI
126;MALI
127;MARRUECOS
128;MAURICIO
129;MAURITANIA
130;NIGER
131;NIGERIA
132;ZIMBABWE
133;RWANDA
134;SENEGAL
135;SIERRA LEONA
136;SOMALIA
137;SWAZILANDIA
138;SUDAN
139;TANZANIA
140;TOGO
141;TUNEZ
142;UGANDA
144;ZAMBIA
149;ANGOLA
150;CABO VERDE
151;MOZAMBIQUE
152;SEYCHELLES
153;DJIBOUTI
155;COMORAS
156;GUINEA BISSAU
157;SANTO TOME Y PRINCIPE
158;NAMIBIA
159;SUDAFRICA
160;ERITREA
161;ETIOPIA
197;RESTO AFRICA
199;AFRICA
200;ARGENTINA
201;BARBADOS
202;BOLIVIA
203;BRASIL
204;CANADA
205;COLOMBIA
206;COSTA RICA
207;CUBA
208;CHILE
209;REPUBLICA DOMINICANA
210;ECUADOR
211;EL SALVADOR
212;ESTADOS UNIDOS
213;GUATEMALA
214;GUYANA
215;HAITI
216;HONDURAS
217;JAMAICA
218;MEXICO
219;NICARAGUA
220;PANAMA
221;PARAGUAY
222;PERU
223;PUERTO RICO
224;TRINIDAD Y TOBAGO
225;URUGUAY
226;VENEZUELA
232;SURINAME
233;DOMINICA
234;SANTA LUCIA
235;SAN VICENTE Y LAS GRANADINAS
236;BELICE
237;ANTIGUA Y BARBUDA
238;SAN CRISTOBAL Y NEVIS
239;BAHAMAS
240;GRENADA
241;ANTILLAS HOLANDESAS
301;AFGANISTAN
302;ARABIA SAUDITA
303;BAHREIN
305;BUTAN
306;CAMBOYA
307;SRI LANKA
308;COREA DEMOCRATICA
309;COREA REPUBLICANA
310;CHINA
312;FILIPINAS
313;TAIWAN
315;INDIA
316;INDONESIA
317;IRAQ
318;IRAN
319;ISRAEL
320;JAPON
321;JORDANIA
322;QATAR
323;KUWAIT
324;LAO
325;LIBANO
326;MALASIA
327;MALDIVAS
328;OMAN
329;MONGOLIA
330;NEPAL
331;EMIRATOS ARABES
332;PAQUISTAN
333;SINGAPUR
334;SIRIA
335;TAILANDIA
337;VIETNAM
341;HONG KONG
345;BANGLADESH
346;BRUNEI
348;REPUBLICA DE YEMEN
349;ARMENIA
350;AZERBAIDZHAN
351;GEORGIA
352;KAZAJISTAN
353;KIRGUISTAN
354;TAYIKISTAN
355;TURKMENISTAN
356;UZBEKISTAN
357;TERRITORIOS AUTONOMOS PALESTINOS
358;MYANMAR
399;ASIA
401;ALBANIA
404;ANDORRA
405;AUSTRIA
406;BELGICA
407;BULGARIA
409;DINAMARCA
410;ESPA�A
410;ESPAÑA
411;FINLANDIA
412;FRANCIA
413;GRECIA
414;HUNGRIA
415;IRLANDA
416;ISLANDIA
417;ITALIA
418;LIECHTENSTEIN
419;LUXEMBURGO
420;MALTA
421;MONACO
422;NORUEGA
423;PAISES BAJOS
424;POLONIA
425;PORTUGAL
426;REINO UNIDO
427;RUMANIA
428;SAN MARINO
429;SUECIA
430;SUIZA
431;VATICANO
435;CHIPRE
436;TURQUIA
438;ALEMANIA
439;BIELORUS
440;ESTONIA
441;LETONIA
442;LITUANIA
443;MOLDOVA
444;RUSIA
445;UCRANIA
446;BOSNIA HERZEGOVINA
447;CROACIA
448;ESLOVAQUIA
449;ESLOVENIA
450;MACEDONIA
451;REPUBLICA CHECA
452;MONTENEGRO
453;SERBIA
454;KOSOVO
455;CHECHENIA
501;AUSTRALIA
503;NAURU
504;NUEVA ZELANDA
505;VANUATU
506;SAMOA OCCIDENTAL
512;FIJI
513;PAPUA NUEVA GUINEA
514;KIRIBATI
515;MICRONESIA ESTADOS FEDERADOS
516;PALAU
517;TUVALU
518;ISLAS SALOMON
519;TONGA
520;ISLAS MARSHALL
521;ISLAS MARIANAS
599;OCEANIA
998;INDETERMINADO
999;OTROS
1;MISSING
0;NOTAPPLICABLE
